plot_id,plt_cn,x,y,year,time,county_fips,county,fia_unit,fia_unit_name,forested,proportion_forested,nonsamp_prop,agb_live_mg_ha,agb_live_c_mg_ha,agb_dead_mg_ha,tcc_mean
1,345933415489998,-1720593.091645759,2903319.809007412,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,0.6055887341499329
2,345933416489998,-1726373.8318927868,2867309.7090697167,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,1.1418230533599854
3,345933655489998,-1670411.508572393,2876678.564423849,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,0.5106472373008728
4,345933961489998,-1701749.9762176692,2845535.222178055,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,1.3575456142425537
5,345933962489998,-1685809.3776811783,2865117.101378848,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,0.711724579334259
6,345934205489998,-1699557.3725534861,2862959.606674498,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,1.7134921550750732
7,345934346489998,-1673348.6366270669,2858901.330973216,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,1.8814914226531982
8,345934837489998,-1752392.4716786693,2871981.4356455775,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,6.952276706695557
9,345934993489998,-1709238.6619164739,2887917.352535348,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,0.5645989179611206
10,345935106489998,-1696806.5690722142,2880785.469523888,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,1.3860785961151123
11,345935199489998,-1688692.4968055491,2847024.0495928656,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,4.018517017364502
12,345935220489998,-1755035.8250233626,2854444.514403665,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,6.856409549713135
13,345935385489998,-1737841.8324441516,2874561.935043334,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,2.222371816635132
14,345936171489998,-1766843.4580791001,2860594.6409234446,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,7.044609069824219
15,345936200489998,-1714496.5890229195,2851620.2047268706,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,0.21967847645282745
16,345936297489998,-1682987.9943013887,2883212.295467003,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,1.5753724575042725
17,345936362489998,-1741018.1421467362,2855997.36724393,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,1.9173470735549927
18,345936388489998,-1675493.6787438365,2840792.8540368867,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,2.6042420864105225
19,345936443489998,-1723888.5947445566,2885650.8537708987,2016,2016.6666666666667,53001,Adams,9,Inland Empire,FALSE,0,0,0,0,0,2.1920714378356934
